date	New York	San Francisco
20120515	62.0	53.0
20120516	63.8	51.0
20120517	64.5	51.4
20120518	61.0	52.2
20120519	62.6	52.4
20120520	66.2	54.5
20120521	62.7	52.8
20120522	63.7	53.9
20120523	66.4	56.5
20120524	64.5	54.7
20120525	65.4	52.5
20120526	69.4	52.1
20120527	71.9	52.2
20120528	74.4	52.9
20120529	75.9	52.1
20120530	72.9	52.1
20120531	72.5	53.3
20120601	67.2	54.8
20120602	68.3	54.0
20120603	67.7	52.3
20120604	61.9	55.3
20120605	58.3	53.5
20120606	61.7	54.1
20120607	66.7	53.9
20120608	68.7	54.4
20120609	72.2	55.0
20120610	72.6	60.0
20120611	69.2	57.2
20120612	66.9	55.1
20120613	66.7	53.3
20120614	67.7	53.4
20120615	68.5	54.6
20120616	67.5	57.0
20120617	64.2	55.6
20120618	61.7	52.5
20120619	66.4	53.9
20120620	77.9	55.3
20120621	88.3	53.3
20120622	82.2	54.1
20120623	77.0	55.2
20120624	75.4	55.8
20120625	70.9	56.8
20120626	65.9	57.5
20120627	73.5	57.7
20120628	77.4	56.6
20120629	79.6	56.4
20120630	84.2	58.4
20120701	81.8	58.8
20120702	82.5	56.4
20120703	80.2	56.5
20120704	77.8	55.8
20120705	86.1	54.8
20120706	79.9	54.9
20120707	83.5	54.7
20120708	81.5	52.8
20120709	77.8	53.7
20120710	76.1	53.1
20120711	76.3	52.7
20120712	75.8	52.0
20120713	77.2	53.4
20120714	79.3	54.0
20120715	78.9	54.0
20120716	79.6	54.5
20120717	83.3	56.7
20120718	84.3	57.5
20120719	75.1	57.1
20120720	68.4	58.1
20120721	68.4	57.6
20120722	72.2	56.0
20120723	75.6	56.6
20120724	82.6	57.8
20120725	78.4	57.5
20120726	77.0	56.4
20120727	79.4	55.3
20120728	77.4	55.0
20120729	72.5	55.6
20120730	72.9	55.6
20120731	73.6	55.9
20120801	75.0	55.4
20120802	77.7	54.4
20120803	79.7	53.7
20120804	79.6	54.1
20120805	81.5	57.8
20120806	80.0	58.2
20120807	75.7	58.0
20120808	77.8	57.0
20120809	78.6	55.0
20120810	77.8	54.8
20120811	78.5	53.0
20120812	78.8	52.5
20120813	78.6	53.3
20120814	76.8	53.9
20120815	76.7	56.2
20120816	75.9	57.1
20120817	77.6	55.3
20120818	72.6	56.2
20120819	70.4	54.3
20120820	71.8	53.1
20120821	73.6	53.4
20120822	74.7	54.5
20120823	74.6	55.7
20120824	76.0	54.8
20120825	76.2	53.8
20120826	73.4	56.5
20120827	74.6	58.3
20120828	79.4	58.7
20120829	74.7	57.5
20120830	73.5	55.9
20120831	77.9	55.4
20120901	80.7	55.7
20120902	75.1	53.1
20120903	73.5	53.5
20120904	73.5	52.5
20120905	77.7	54.5
20120906	74.2	56.3
20120907	76.0	56.4
20120908	77.1	56.5
20120909	69.7	56.4
20120910	67.8	55.4
20120911	64.0	56.2
20120912	68.1	55.7
20120913	69.3	54.3
20120914	70.0	55.2
20120915	69.3	54.3
20120916	66.3	52.9
20120917	67.0	54.8
20120918	72.8	54.8
20120919	67.2	56.8
20120920	62.1	55.4
20120921	64.0	55.8
20120922	65.5	55.9
20120923	65.7	52.8
20120924	60.4	54.5
20120925	63.2	53.3
20120926	68.5	53.6
20120927	69.2	52.1
20120928	68.7	52.6
20120929	62.5	53.9
20120930	62.3	55.1
